Response_ID,今年的中秋節您有與家人團聚嗎？（延後到國慶連假也算）,今年中秋節（含國慶連假）團圓時您有烤肉嗎？,肉片:請問在烤肉時，您最喜歡的食材是哪些？（可複選）,香腸:請問在烤肉時，您最喜歡的食材是哪些？（可複選）,黑輪:請問在烤肉時，您最喜歡的食材是哪些？（可複選）,玉米:請問在烤肉時，您最喜歡的食材是哪些？（可複選）,貢丸:請問在烤肉時，您最喜歡的食材是哪些？（可複選）,米血:請問在烤肉時，您最喜歡的食材是哪些？（可複選）,蔬菜:請問在烤肉時，您最喜歡的食材是哪些？（可複選）,海鮮:請問在烤肉時，您最喜歡的食材是哪些？（可複選）,雞翅、雞腿:請問在烤肉時，您最喜歡的食材是哪些？（可複選）,豆干、豆腐:請問在烤肉時，您最喜歡的食材是哪些？（可複選）,我喜歡的是：:請問在烤肉時，您最喜歡的食材是哪些？（可複選）,對於這種「到府烤肉」服務，您的感受是？,喜歡，因為…:對於這種「到府烤肉」服務，您的感受是？,不喜歡，因為…:對於這種「到府烤肉」服務，您的感受是？,如果大家都烤肉，您會覺得「不好玩」嗎？,如果大家都烤肉，您會覺得「不好玩」嗎？: Comments,無論您喜不喜歡烤肉，現在我們來談談對它的印象吧。 您覺得戶外的烤肉對您的健康有多大影響？,對您來說，烤肉費用的支出是不是一種負擔？,對您來說，烤肉費用的支出是不是一種負擔？: Comments,準備烤肉食材對您來說會不會很麻煩？,在烤肉活動中，請問下列哪一項是您最無法忍受的？,我最受不了的是：:在烤肉活動中，請問下列哪一項是您最無法忍受的？,在烤肉活動中，請問下列哪一項是您最無法忍受的？: Comments,您在不在意您烤肉時造成的污染嗎？,您在不在意您烤肉時造成的污染嗎？: Comments,請問這樣的活動對您來說有趣嗎？,請問您是否參與過這類的大型烤肉活動？,我覺得「封街烤肉」…,我覺得：:我覺得「封街烤肉」…,請問您比較喜歡「封街大家一起烤肉」，還是「自己家烤自己的」？,集體烤肉，因為：:請問您比較喜歡「封街大家一起烤肉」，還是「自己家烤自己的」？,自己烤，因為：:請問您比較喜歡「封街大家一起烤肉」，還是「自己家烤自己的」？,請問您比較喜歡「封街大家一起烤肉」，還是「自己家烤自己的」？: Comments,最後，我們來談談節慶與團聚。 請問您覺得一天之內自己可以自由支配的時間（用來做自己想做的事）大約有多少？,春節:請問您今年挑了什麼時間與全家團聚（可複選）？,端午:請問您今年挑了什麼時間與全家團聚（可複選）？,中秋:請問您今年挑了什麼時間與全家團聚（可複選）？,長假連假:請問您今年挑了什麼時間與全家團聚（可複選）？,平時週休或排假時:請問您今年挑了什麼時間與全家團聚（可複選）？,以上都沒有:請問您今年挑了什麼時間與全家團聚（可複選）？,說回到烤肉，請問您明年會不會想全家人一起烤肉？,"平時用社群媒體（Line, Facebook等）與家人聯繫感情。您覺得夠不夠？","我有其他想法：:平時用社群媒體（Line, Facebook等）與家人聯繫感情。您覺得夠不夠？","平時用社群媒體（Line, Facebook等）與家人聯繫感情。您覺得夠不夠？: Comments",大家圍著烤肉比其他活動要較為容易聯絡感情。,"「請問您多常使用手機上的社群媒體（Line, FB等）APP與家人聯絡？」",請問您使用手機與家人聯絡時，比較喜歡使用文字簡訊（例如Line留言），還是使用講話（含視訊）？,關於性別，您會以生理性別或社會性別來描述自己？,Gender,Social_gender,Bornyear,Edu,Residence,Job,Other_Job
122,1,2,,,,,,,,,,,,3,,,2,,2,2,,1,2,,,2,,1,2,3,,2,,,,2,1,,3,,,,6,3,,,1,1,1,,1,0,1967,專科,2,其他,
123,1,1,,2,,,5,,,,,,,92,,假假的,2,,2,3,,2,3,,,1,,2,2,4,,3,,,,2,1,2,3,,,,7,4,,,1,2,2,,0,0,1940,高中/職,1,退休,
126,1,1,1,2,3,4,5,,7,8,,10,,1,,,2,,2,2,,2,2,,,2,,2,1,4,,3,,,,2,,2,3,4,,,7,1,,,2,1,1,,1,0,1981,研究所以上,2,專業人員,
127,1,2,,,,,,,,,,,,3,,,2,,2,2,,1,2,,,1,,2,2,4,,3,,,,2,1,,3,4,,,5,3,,,2,1,1,,0,3,1979,高中/職,2,家管,
128,2,2,,,,,,,,,,,,92,,不喜歡烤肉的煙,1,問題不在別人做不做，而是烤肉的煙十分令人困擾。,1,3,因為我家不烤,2,1,,,1,,2,2,5,,99,,,,1,,,,,5,,0,4,,,2,1,1,,0,0,1966,大學,8,其他,
129,1,1,1,2,,4,,,,8,,,,1,,,2,,2,2,,1,2,,,2,,1,2,2,,3,,,,2,,,3,,,,8,3,,,2,1,1,,1,0,1987,大學,14,事務工作人員,
130,1,2,,,,,,,,,,,,2,,,2,,2,1,,1,1,,,1,,1,2,3,,3,,,,2,1,,,,,,6,3,,,1,2,1,,0,0,1985,專科,2,其他,
133,1,2,,,,,,,,,,,,2,,,2,,2,1,,1,2,,,1,,2,2,4,,4,,,,2,1,2,3,4,,,6,2,,,2,1,1,,0,5,1996,大學,15,學生,
134,1,1,,2,3,4,5,6,,8,9,,,3,,,2,,2,2,,2,2,,,1,,1,2,4,,3,,,,3,,,3,,,,7,3,,,1,2,1,,1,0,1987,大學,20,技術工作及有關工作人員,
135,1,2,,,,,,,,,,,,3,,,2,,2,2,,1,1,,,1,,2,2,5,,3,,,,1,1,,3,,,,3,4,,,2,2,1,,0,0,1939,國小以下,14,家管,
136,2,2,,,,,,,,,,,,3,,,1,,1,1,,1,1,,,1,,2,1,5,,99,,,,3,,,,,,99,1,4,,,1,4,1,,1,0,1984,大學,2,待業或無業,
137,2,2,,,,,,,,,,,,1,,,1,,3,1,,2,3,,,2,,2,1,4,,3,,,,4,,,,4,,,1,3,,,1,3,1,,1,0,1983,大學,2,待業或無業,
138,1,1,1,,3,,,,,8,,,,3,,,2,,1,2,,1,2,,,2,,2,1,4,,3,,,,1,1,2,3,4,5,,6,3,,,2,1,2,,0,0,1992,大學,15,學生,
139,1,1,1,2,,4,5,6,7,,,10,,3,,,2,,2,2,,1,5,,,2,,1,2,1,,1,,,,2,1,2,3,4,5,,8,3,,,2,2,1,,0,0,1988,大學,2,專業人員,
140,1,2,,,,,,,,,,,,3,,,2,,2,2,,1,4,,,1,,2,2,90,易產生紛爭,3,,,,2,1,2,3,4,5,,5,3,,,2,1,1,,1,0,1982,大學,2,事務工作人員,
141,1,2,,,,,,,,,,,,92,,外人不習慣,1,,2,3,,1,2,,,2,,2,2,4,,99,,,,2,1,2,3,,,,2,1,,,2,2,2,,1,0,1969,研究所以上,2,專業人員,
142,1,1,,,,,,,,,9,,,3,,,1,,2,2,,2,1,,,1,,2,2,5,,3,,,,2,1,,,,,,6,3,,,1,1,1,,1,0,1980,大學,9,技術員及助理專業人員,
143,1,2,,,,,,,,,,,,1,,,2,,2,2,,1,2,,,2,,1,2,2,,1,,,,2,1,,,,5,,4,2,,,2,1,1,,0,3,1991,研究所以上,15,學生,
144,1,2,,,,,,,,,,,,92,,烤肉不健康,1,,1,1,,1,90,以下皆是,,1,,2,2,90,不喜歡，對自身健康與環境都很糟糕,99,,,,1,,,,,5,,0,1,,,2,1,1,,0,0,1992,研究所以上,7,學生,
145,1,1,1,,,,,,7,8,,,,3,,,2,,2,2,,2,5,,,1,,2,2,5,,4,,,,2,,,,4,,,8,2,,,2,1,1,,0,0,1995,大學,9,學生,
146,1,1,1,2,3,,,,,,9,,,3,,,2,,2,2,,2,5,,,2,,1,2,2,,3,,,,3,,,3,,,,7,3,,,1,2,2,,1,0,1976,研究所以上,15,事務工作人員,
147,1,2,,,,,,,,,,,,2,,,1,,2,1,,1,1,,,1,,2,2,5,,99,,,,3,1,2,3,,,,5,2,,,2,2,2,,0,0,1973,大學,1,家管,
148,1,1,1,,,,,,,,,,,3,,,1,,3,3,,1,3,,,3,,1,2,3,,3,,,,3,,,3,,,,9,3,,,1,1,2,,0,3,1998,專科,19,學生,
149,1,1,1,2,3,,,,,,9,,,3,,,2,,2,2,,2,5,,,2,,2,2,5,,3,,,,1,,,,4,5,,10,3,,,1,1,1,,0,0,1982,大學,16,家管,
150,2,2,,,,,,,,,,,,1,,,2,,2,2,,1,4,,,1,,2,2,4,,3,,,,3,1,,,4,,,5,2,,,2,2,1,,0,0,1993,研究所以上,2,學生,
151,1,2,,,,,,,,,,,,3,,,2,,2,2,,2,5,,,3,,1,2,2,,3,,,,3,1,2,3,,,,10,4,,,1,2,1,,1,0,1991,研究所以上,2,待業或無業,
152,1,2,,,,,,,,,,,,92,,不想烤肉,1,,1,2,,1,2,,,1,,2,2,4,,99,,,,2,1,2,3,4,5,,1,3,,,2,1,2,,1,0,1985,研究所以上,15,學生,
153,1,2,,,,,,,,,,,,3,,,2,,2,2,,2,5,,,2,,1,2,3,,2,,,,2,,,3,4,,,5,2,,,2,2,1,,0,0,1985,研究所以上,7,專業人員,
154,1,1,1,,,,,,,,9,10,,3,,,2,,2,2,,2,2,,,2,,1,2,2,,3,,,,2,,,,,5,,8,3,,,1,2,1,,1,0,1976,高中/職,4,非技術工及體力工,
155,2,2,,,,,,,,,,,,3,,,2,,2,2,,2,1,,,2,,2,2,5,,4,,,,1,,,,,5,,3,2,,,2,3,2,,0,0,1994,大學,7,學生,
156,1,1,,,3,,,,,,,,,2,,,2,,1,2,,1,5,,,2,,2,1,2,,2,,,,2,,,3,,,,6,2,,,1,1,1,,1,0,1983,大學,11,非技術工及體力工,
157,1,1,1,,,4,,,7,8,,,,3,,,2,,2,1,,2,2,,,1,,1,1,2,,1,,,,2,,,3,,,,9,2,,,1,1,2,,0,0,1984,大學,14,待業或無業,
158,2,2,,,,,,,,,,,,92,,污染,2,,1,1,,1,1,,,1,,2,1,4,,99,,,,3,,,,4,,,5,3,,,2,1,1,,1,0,1992,研究所以上,15,專業人員,
159,1,1,,,,,5,,7,,,10,,3,,,2,,1,1,,2,1,,,2,,1,2,1,,1,,,,1,1,2,3,,,,10,1,,,1,1,1,,1,0,1989,大學,15,事務工作人員,
160,1,1,,,,,,,,8,,,,3,,,2,,2,3,,2,5,,,3,,1,1,2,,1,,,,1,,,,4,,,9,3,,,1,2,2,,0,0,1956,國小以下,8,家管,
161,1,2,,,,,,,,,,,,3,,,2,,1,2,,2,1,,,1,,2,2,5,,3,,,,2,1,,3,,5,,4,3,,,2,1,1,,0,0,1960,高中/職,11,家管,
162,1,1,,,,,,,7,,,,,3,,,2,,1,1,,1,4,,,1,,1,2,3,,3,,,,2,1,,3,,,,5,3,,,1,2,1,,1,0,1991,研究所以上,6,專業人員,
163,1,2,,,,,,,,,,,,2,,,2,,1,1,,1,4,,,1,,1,2,2,,3,,,,2,1,,3,4,5,,4,2,,,2,2,1,,1,0,1992,研究所以上,1,待業或無業,
164,1,1,1,,3,4,,,7,,9,,,3,,,2,,2,2,,1,2,,,2,,1,2,2,,2,,,,2,1,2,3,4,,,6,3,,,1,1,1,,1,0,1972,大學,15,事務工作人員,
165,2,2,,,,,,,,,,,,92,,自己感受氣氛,1,,2,2,,1,1,,,1,,2,2,5,,3,,,,2,,,,,5,,6,3,,,1,1,2,,1,2,1968,高中/職,2,技術工作及有關工作人員,
166,1,2,,,,,,,,,,,,3,,,2,,2,2,,2,2,,,2,,1,1,2,,2,,,,2,1,2,3,4,5,,6,3,,,1,2,2,,1,0,1993,研究所以上,14,學生,
167,1,1,1,2,3,4,5,6,7,,9,,,2,,,2,,3,2,,1,1,,,1,,2,2,4,,3,,,,2,1,2,3,4,5,,6,3,,,1,1,2,,1,4,1996,大學,14,學生,
168,1,1,1,2,,,,6,,8,9,,,3,,,2,,3,2,,2,5,,,3,,2,2,4,,3,,,,2,,,3,,,,10,4,,,1,1,2,,0,0,1976,高中/職,2,家管,
169,1,2,,,,,,,,,,,,1,,,2,,1,1,,1,1,,,1,,2,2,4,,3,,,,2,,,,,5,,5,2,,,2,1,1,,1,0,1970,專科,4,服務工作人員及銷售員,
170,1,2,,,,,,,,,,,,3,,,2,,1,2,,1,1,,,1,,2,2,4,,3,,,,3,1,2,3,4,5,,5,3,,,2,1,1,,1,0,1982,研究所以上,15,專業人員,
171,1,1,1,2,3,4,5,6,7,8,9,10,,1,,,2,,1,1,,1,2,,,1,,1,1,3,,1,,,,2,1,,3,,,,6,3,,,2,1,1,,1,0,1989,研究所以上,1,事務工作人員,
172,1,1,1,2,,4,5,,,8,,,,3,,,2,,1,2,,2,1,,,1,,1,2,5,,3,,,,2,1,2,3,4,5,,8,3,,,1,2,2,,1,0,1961,高中/職,20,退休,
173,1,1,1,2,,4,5,,7,8,9,10,,1,,,2,,2,2,,1,2,,,2,,2,2,4,,4,,,,2,1,2,3,,,,8,3,,,1,2,1,,0,0,1994,大學,10,事務工作人員,
175,1,2,,,,,,,,,,,,1,,,2,,1,2,,2,1,,,1,,1,2,4,,3,,,,2,,,,4,,,7,2,,,2,1,1,,0,0,1997,大學,4,學生,
176,1,1,1,2,,,,,,,,,,3,,,2,,2,1,,1,1,,,2,,1,2,3,,2,,,,1,1,,,4,,,5,3,,,2,1,1,,0,0,1996,大學,2,學生,
177,1,2,,,,,,,,,,,,3,,,2,,3,1,,1,2,,,1,,1,2,4,,4,,,,2,1,,,,,,4,2,,,2,2,2,,1,0,1984,大學,15,技術員及助理專業人員,
178,1,2,,,,,,,,,,,,3,,,2,,2,2,,1,5,,,1,,1,2,2,,3,,,,2,1,2,3,4,5,,5,1,,,2,1,1,,0,0,1982,專科,2,待業或無業,
179,1,2,,,,,,,,,,,,2,,,1,,1,2,,1,5,,,1,,1,2,2,,2,,,,3,,2,3,,,,4,3,,,2,2,1,,1,0,1990,大學,1,專業人員,
180,1,2,,,,,,,,,,,,2,,,2,,1,1,,1,1,,,1,,2,2,5,,3,,,,2,1,2,3,4,5,,2,3,,,2,2,2,,1,0,1965,大學,11,技術員及助理專業人員,
181,1,1,1,,,,,6,,8,9,,,3,,,1,,1,2,,1,1,,,1,,1,2,2,,3,,,,2,1,2,3,4,5,,6,2,,,1,2,1,,1,0,1983,大學,9,專業人員,
182,1,2,,,,,,,,,,,,3,,,2,,2,2,,1,5,,,2,,1,2,2,,3,,,,3,,,,,5,,7,3,,,1,1,1,,0,0,1986,大學,2,事務工作人員,
183,2,2,,,,,,,,,,,,3,,,2,,1,3,,1,1,,,1,,2,2,5,,3,,,,2,1,,,,,,1,3,,,2,2,1,,1,0,1973,大學,14,技術工作及有關工作人員,
184,1,1,,,3,,,,,,9,,,3,,,2,,3,3,,2,3,,,3,,2,2,4,,3,,,,1,,,,,5,,5,1,,,1,3,2,,0,0,1985,高中/職,15,服務工作人員及銷售員,
186,1,1,,,,,5,,7,8,,10,,3,,,2,,2,2,,2,1,,,1,,2,2,5,,3,,,,3,1,2,3,4,5,,9,2,,,1,1,1,,0,0,1989,大學,6,專業人員,
187,1,2,,,,,,,,,,,,1,,,2,,1,2,,1,5,,,2,,1,1,1,,2,,,,2,1,,3,4,,,6,3,,,1,2,1,,1,0,1970,大學,2,退休,
188,1,2,,,,,,,,,,,,92,,"人少,不需要",2,,2,1,,1,2,,,2,,2,2,2,,1,,,,3,,,,,,99,5,3,,,2,2,1,,0,0,1973,專科,15,服務工作人員及銷售員,
189,1,1,,,,4,,,7,,,10,,2,,,2,,2,3,,1,5,,,1,,1,2,1,,3,,,,1,1,,,4,5,,7,3,,,2,1,1,,0,0,1982,大學,2,事務工作人員,
190,1,2,,,,,,,,,,,,3,,,2,,1,2,,2,2,,,1,,2,1,3,,3,,,,3,1,,,4,,,4,3,,,1,2,2,,0,0,1991,大學,15,事務工作人員,
191,2,2,,,,,,,,,,,,3,,,2,,2,2,,1,5,,,2,,2,2,4,,3,,,,3,1,2,,4,5,,6,2,,,1,2,1,,1,0,1981,大學,19,事務工作人員,
192,1,1,,,,,,,,8,,,90,3,,,2,看跟誰一起烤,2,2,,2,2,,,1,,2,2,5,,3,,,,2,,,3,,,,7,90,"平常住家裡, 所以LINE只是用來普通聯絡或分享事情",,1,1,1,,0,0,1993,大學,9,技術員及助理專業人員,
193,1,2,,,,,,,,,,,,3,,,2,,1,2,,1,1,,,1,,2,1,5,,3,,,,2,1,,3,,5,,4,3,,,1,1,1,,0,0,1989,大學,14,事務工作人員,
194,2,2,,,,,,,,,,,,1,,,2,,2,2,,1,4,,,2,,1,2,2,,2,,,,2,,,,,,99,3,3,,,1,1,1,,0,0,1979,大學,15,事務工作人員,
195,1,1,1,,,,,,,8,,,,3,,,2,,1,1,,1,3,,,1,,2,2,5,,3,,,,3,1,,3,,5,,8,2,,,1,2,1,,0,0,1989,大學,2,服務工作人員及銷售員,
197,1,1,1,2,3,,,6,7,8,9,,,1,,,2,,1,2,,1,1,,,1,,1,1,3,,1,,,,2,1,2,3,4,,,10,1,,,1,1,2,,1,0,1980,大學,14,事務工作人員,
198,1,1,1,2,,4,,,,,,,,3,,,2,,1,2,,2,90,吃完就拍拍屁股走人,,2,,1,2,90,還好,3,,,,2,1,2,3,4,5,,8,3,,,2,2,1,,0,4,1988,大學,7,非技術工及體力工,
199,1,2,,,,,,,,,,,,1,,,2,,2,3,,2,1,,,2,,2,2,4,,3,,,,2,,,,,5,,7,3,,,1,1,1,,1,0,1992,大學,15,專業人員,
200,1,1,,,,,,,7,8,9,,,3,,,2,,1,1,,1,1,,,1,,1,2,1,,3,,,,2,,,,,5,,5,3,,,2,2,1,,0,0,1986,大學,10,技術員及助理專業人員,
201,1,1,,2,,4,5,,7,8,9,,,3,,,2,,2,2,,1,1,,,1,,2,2,2,,3,,,,1,1,,3,,,,6,2,,,1,1,1,,1,0,1966,專科,11,技術員及助理專業人員,
202,1,2,,,,,,,,,,,,3,,,2,,2,2,,1,4,,,1,,1,2,2,,1,,,,3,1,,,4,5,,9,3,,,2,2,1,,1,0,1970,,,,
203,2,2,,,,,,,,,,,,1,,,1,,1,1,,1,3,,,1,,2,1,2,,4,,,,2,,,,,5,,5,1,,,1,2,1,,0,5,1985,高中/職,4,服務工作人員及銷售員,
204,1,1,1,,,4,,,7,,9,,,3,,,2,,2,1,,1,4,,,2,,2,2,4,,3,,,,3,1,,,4,,,5,3,,,2,2,2,,0,0,1972,大學,18,事務工作人員,
205,1,2,,,,,,,,,,,,3,,,2,,2,2,,2,2,,,2,,2,2,4,,3,,,,1,1,,,,,,1,2,,,2,2,1,,1,0,1985,研究所以上,2,事務工作人員,
206,1,2,,,,,,,,,,,,3,,,1,,1,1,,1,1,,,1,,2,2,5,,99,,,,1,,,,4,,,3,3,,,2,1,1,,0,3,1998,大學,5,學生,
207,1,1,1,,,,,,,,,,,3,,,2,,2,3,,1,2,,,1,,1,2,1,,3,,,,2,1,2,3,4,5,,7,2,,,1,1,1,,0,0,1987,研究所以上,15,事務工作人員,
208,1,2,,,,,,,,,,,,3,,,2,,2,1,,2,2,,,1,,2,2,4,,4,,,,2,,,,4,,,5,2,,,2,2,1,,0,0,1994,高中/職,8,待業或無業,
209,2,2,,,,,,,,,,,,3,,,1,,3,3,,2,2,,,2,,2,1,4,,4,,,,3,,,,4,,,4,3,,,2,3,2,,1,1,1993,研究所以上,8,學生,
210,1,2,,,,,,,,,,,,3,,,2,,2,3,,2,1,,,2,,1,2,1,,3,,,,2,1,,3,,5,,4,3,,,2,2,2,,1,0,1958,專科,8,農/林/漁/牧工作人員,
211,1,1,1,2,3,,5,,,8,9,10,,92,,多一個不熟的人,2,,2,2,,2,2,,,2,,2,2,5,,3,,,,3,1,2,3,4,,,5,2,,,1,2,2,,1,0,1966,研究所以上,2,事務工作人員,
212,1,1,,2,,4,,,7,,9,10,,3,,,2,,1,2,,1,1,,,1,,1,1,3,,1,,,,2,1,2,3,,,,9,3,,,1,1,1,,1,0,1962,專科,1,民意代表/行政主管/企業主管及經理人員,
213,1,2,,,,,,,,,,,,3,,,2,,2,1,,1,2,,,1,,1,2,90,至少不會在禁止區烤肉,3,,,,2,,2,,4,,,7,3,,,1,1,2,,0,0,1983,大學,2,服務工作人員及銷售員,
214,1,2,,,,,,,,,,,,3,,,2,,2,1,,1,1,,,1,,1,1,3,,3,,,,2,1,2,3,,,,9,3,,,1,1,1,,1,0,2000,高中/職,1,學生,
215,2,2,,,,,,,,,,,,3,,,2,,1,2,,1,5,,,2,,1,2,2,,3,,,,2,1,,,,5,,6,3,,,1,2,2,,0,0,1991,大學,16,學生,
216,1,2,,,,,,,,,,,,92,,沒有一定要烤肉,1,,3,3,,1,2,,,1,,2,2,5,,99,,,,2,1,,3,4,,,4,4,,,2,1,1,,0,0,1988,大學,1,事務工作人員,
217,1,1,,,,,,,7,,,10,,1,,,2,,2,2,,1,2,,,1,,1,2,2,,3,,,,3,1,,3,4,,,8,3,,,1,2,2,,0,0,1975,專科,16,家管,
218,2,2,,,,,,,,,,,,3,,,1,,1,1,,1,1,,,1,,2,2,5,,3,,,,2,1,,,,,,3,2,,,2,1,1,,0,0,1986,大學,18,待業或無業,
219,1,1,1,2,3,,5,,,,9,,,3,,,2,,2,2,,1,5,,,2,,2,2,4,,4,,,,2,1,,,,,,5,3,,,1,2,2,,1,0,1978,大學,15,技術員及助理專業人員,
222,1,2,,,,,,,,,,,,2,,,2,,1,1,,1,1,,,1,,2,2,5,,3,,,,2,1,2,3,4,5,,5,2,,,2,4,1,,1,0,1975,專科,5,技術員及助理專業人員,
224,1,2,,,,,,,,,,,,3,,,2,,2,1,,1,4,,,1,,2,2,4,,4,,,,2,1,2,3,,5,,7,3,,,2,2,1,,0,0,1984,大學,16,家管,
225,1,1,,,,,,,,,9,10,,3,,,2,,1,1,,1,2,,,1,,2,2,5,,4,,,,2,,,3,,,,6,3,,,1,1,1,,1,0,1983,大學,8,事務工作人員,
226,1,2,,,,,,,,,,,,3,,,2,,3,3,,2,3,,,2,,1,1,3,,2,,,,2,1,,3,,,,6,2,,,2,1,2,,1,0,1970,大學,10,專業人員,
227,2,2,,,,,,,,,,,,3,,,2,,2,2,,1,2,,,1,,2,2,4,,99,,,,3,1,,,,5,,3,2,,,2,2,2,,1,0,1984,大學,16,技術工作及有關工作人員,
228,1,2,,,,,,,,,,,,92,,沒意思，如果要這樣不會去燒烤店嗎@@,2,,1,1,,1,90,滿身都是煙的味道,,1,,2,2,90,還好，看參與的人吧,3,,,,3,,,3,4,,,6,4,,,2,1,2,,0,0,1993,大學,15,學生,
229,1,2,,,,,,,,,,,,3,,,2,,2,2,,1,2,,,1,,2,2,4,,3,,,,2,1,2,3,4,5,,7,4,,臉書好友不見得每個都可以聊得來 也不如面對面的交流,2,1,1,,0,0,1989,大學,14,專業人員,
230,1,1,,,,4,,,7,8,,,,3,,,2,,2,2,,1,4,,,2,,2,2,4,,3,,,,2,1,2,3,,5,,5,3,,,2,2,1,,0,0,1993,大學,13,學生,
231,2,2,,,,,,,,,,,,1,,,2,,2,2,,1,90,沒有人幫忙,,1,,2,1,4,,3,,,,2,1,,,,5,,5,3,,,1,1,1,,0,0,1982,專科,16,家管,
232,2,1,1,2,,,,,7,8,,,,3,,,2,,2,3,,2,5,,,2,,2,2,4,,3,,,,2,,,,,,99,3,1,,,2,1,1,,1,0,1991,大學,14,學生,
233,1,2,,,,,,,,,,,,2,,,2,,2,2,,1,2,,,1,,2,2,4,,99,,,,3,,,,,5,,5,3,,,2,2,2,,1,0,1978,大學,15,機械設備操作工及組裝工,
234,1,1,1,2,,4,5,6,7,8,,10,,3,,,2,,2,2,,1,1,,,1,,1,1,2,,1,,,,3,1,2,3,,,,6,3,,,1,2,2,,1,0,1974,大學,2,技術員及助理專業人員,
235,1,1,,,,4,,,,8,,,,3,,,2,,1,1,,1,1,,,1,,2,2,4,,3,,,,2,1,,3,,,,3,4,,,2,2,1,,0,0,1990,大學,14,待業或無業,
237,1,1,,2,,,,,,,,,,2,,,2,,1,2,,1,5,,,2,,1,2,2,,3,,,,2,,2,,,,,4,2,,,1,2,2,,0,0,1965,專科,11,技術員及助理專業人員,
238,1,1,,,3,,,6,,,,,,3,,,2,,3,1,,2,1,,,1,,2,2,4,,3,,,,2,1,2,3,,,,5,2,,,1,2,1,,0,0,1977,高中/職,14,服務工作人員及銷售員,
239,1,2,,,,,,,,,,,,3,,,2,,2,2,,1,4,,,1,,1,2,2,,1,,,,3,,,,,5,,5,4,,,2,2,2,,0,0,1976,專科,15,非技術工及體力工,
240,1,2,,,,,,,,,,,,3,,,2,,2,2,,1,3,,,1,,2,2,4,,4,,,,2,1,2,3,4,5,,2,4,,,2,2,2,,1,0,1965,專科,16,服務工作人員及銷售員,
241,1,1,,,,4,,,7,,,,,2,,,2,,2,1,,2,1,,,1,,2,2,4,,3,,,,3,,,,4,,,5,2,,,1,1,2,,1,0,1991,研究所以上,8,技術工作及有關工作人員,
242,1,2,,,,,,,,,,,,3,,,2,,2,1,,1,2,,,2,,1,2,2,,3,,,,1,1,2,3,4,5,,8,3,,,1,1,1,,0,0,1968,大學,2,其他,
243,2,2,,,,,,,,,,,,1,,,1,,1,1,,1,2,,,1,,2,2,4,,4,,,,1,1,,,,,,0,3,,,2,1,1,,0,0,1989,大學,1,待業或無業,
244,1,1,,,3,,,,,,,,,3,,,2,,1,1,,1,1,,,1,,2,2,4,,3,,,,3,,,3,,,,5,1,,,2,1,1,,1,0,1982,大學,14,專業人員,
245,1,2,,,,,,,,,,,,3,,,1,,1,1,,1,1,,,1,,2,2,4,,3,,,,3,,,,4,,,6,3,,,2,2,2,,0,0,1982,大學,10,事務工作人員,
246,2,2,,,,,,,,,,,,92,,不需要,1,,2,2,,1,1,,,2,,2,2,5,,99,,,,2,1,2,,,,,1,4,,,2,4,1,,1,0,1971,大學,9,事務工作人員,
247,1,2,,,,,,,,,,,,3,,,2,,1,2,,1,1,,,1,,2,2,5,,3,,,,2,1,,,,,,4,3,,,2,1,1,,1,0,1979,,1,,
249,1,2,,,,,,,,,,,,1,,,2,,1,1,,1,5,,,1,,1,1,3,,2,,,,3,,,,,5,,5,4,,,1,1,1,,1,0,1988,大學,13,技術員及助理專業人員,
250,1,1,,2,,,5,6,,,,10,,2,,,2,,2,2,,2,1,,,2,,2,2,5,,3,,,,2,1,2,3,,5,,7,3,,,1,2,1,,1,0,1983,研究所以上,2,專業人員,
252,1,1,,,,4,5,,7,,,10,,1,,,2,,1,1,,1,5,,,1,,1,1,1,,4,,,,1,1,,,,,,7,2,,,2,2,1,,1,4,1978,專科,6,技術員及助理專業人員,
254,1,1,,,3,,,,7,8,,,,2,,,2,,2,2,,2,1,,,2,,2,2,5,,3,,,,2,1,,3,4,,,9,3,,,1,2,1,,0,0,1988,大學,14,專業人員,
255,1,2,,,,,,,,,,,,1,,,2,,2,1,,1,2,,,2,,2,2,5,,3,,,,2,1,,,,,,2,2,,,2,2,1,,1,0,1994,,1,,
256,1,1,1,2,,,,,,,,,,3,,,2,,2,2,,1,5,,,1,,1,2,3,,3,,,,2,,,,,5,,7,2,,,2,2,1,,0,0,1998,大學,6,學生,
258,1,1,1,,,,,,,8,9,,90,3,,,2,,1,2,比去燒烤店便宜多了,2,5,,,1,所以在家烤，很久沒有到戶外了,2,1,4,,3,,,,3,1,2,3,4,5,,8,90,要看與家人居住的距離,,2,2,1,,0,0,1985,專科,3,其他,
259,1,1,,,,,,,,8,,10,90,3,,,2,,2,2,,1,5,,,2,,2,2,4,,3,,,,1,1,2,3,4,5,,5,2,,,2,1,1,,1,0,1992,研究所以上,6,學生,
260,1,1,1,,,,,,7,8,9,,,1,,,2,,1,1,,1,1,,,1,,2,2,5,,2,,,,2,1,,3,4,,,5,3,,,1,1,2,,1,0,1971,研究所以上,8,專業人員,
261,1,2,,,,,,,,,,,,3,,,2,,2,2,,1,1,,,2,,2,2,4,,3,,,,1,1,2,3,,5,,5,2,,,1,1,1,1,0,0,1996,大學,8,學生,
262,2,2,,,,,,,,,,,,2,,,2,,1,2,,2,1,,,1,,2,2,5,,3,,,,2,1,,,,,,6,3,,,2,1,1,,0,0,1995,高中/職,15,學生,
